0	50	50	50	0
1000	50	50	50	20
2000	50	50	50	40
3000	50	50	50	55
4000	50	50	50	65
5000	50	50	50	70
6000	50	50	50	73
7000	50	50	50	75
8000	50	50	50	77
9000	50	50	50	78
10000	50	50	50	78
11000	50	50	50	78
12000	50	50	50	78
13000	50	50	50	78
14000	50	50	50	78
15000	50	50	50	78
16000	50	50	50	78
17000	50	50	50	77
18000	50	50	50	76
19000	50	50	50	75
20000	50	50	50	74
21000	50	50	50	73
22000	50	50	50	72
23000	50	50	50	71
24000	50	50	50	70
25000	50	50	50	69
26000	50	50	50	69
27000	50	50	50	69
28000	50	50	50	69
29000	50	50	50	69
